Model,FPR,TPR
Byteplot,0.0,0.0
Byteplot,0.0,0.009174311926605505
Byteplot,0.0,0.981651376146789
Byteplot,0.010526315789473684,0.981651376146789
Byteplot,0.010526315789473684,1.0
Byteplot,1.0,1.0
Markov,0.0,0.0
Markov,0.0,0.11428571428571428
Markov,0.0,0.13333333333333333
Markov,0.0,0.17142857142857143
Markov,0.0,0.2
Markov,0.0,0.2857142857142857
Markov,0.0,0.3619047619047619
Markov,0.0,0.3904761904761905
Markov,0.0,0.4380952380952381
Markov,0.0,0.44761904761904764
Markov,0.0,0.4666666666666667
Markov,0.0,0.4857142857142857
Markov,0.0,0.5047619047619047
Markov,0.0,0.5904761904761905
Markov,0.0,0.6095238095238096
Markov,0.0,1.0
Markov,1.0,1.0
Simhash,0.0,0.0
Simhash,0.0,0.009345794392523364
Simhash,0.0,0.2336448598130841
Simhash,0.0,0.2616822429906542
Simhash,0.0,1.0
Simhash,1.0,1.0
SFC_Gray,0.0,0.0
SFC_Gray,0.0,0.017857142857142856
SFC_Gray,0.0,1.0
SFC_Gray,1.0,1.0
SFC_Hilbert,0.0,0.0
SFC_Hilbert,0.0,0.03296703296703297
SFC_Hilbert,0.0,0.06593406593406594
SFC_Hilbert,0.0,0.08791208791208792
SFC_Hilbert,0.0,0.15384615384615385
SFC_Hilbert,0.0,0.18681318681318682
SFC_Hilbert,0.0,0.26373626373626374
SFC_Hilbert,0.0,0.2857142857142857
SFC_Hilbert,0.0,0.967032967032967
SFC_Hilbert,0.008849557522123894,0.967032967032967
SFC_Hilbert,0.008849557522123894,1.0
SFC_Hilbert,1.0,1.0
SFC_Zorder,0.0,0.0
SFC_Zorder,0.00909090909090909,0.0
SFC_Zorder,0.01818181818181818,0.0
SFC_Zorder,0.01818181818181818,1.0
SFC_Zorder,1.0,1.0
